Sbj,Grp,scene,social,block,learn_ACC,learn_total_search,Total_first_look,memory_DIST,AQ,SAS,Gender,Age
1,1,1,1,1,1,3.9284,1,37.259,17,39,1,19
1,1,1,1,2,1,2.5425,0,37.259,17,39,1,19
1,1,1,1,3,1,1.9563,0,37.259,17,39,1,19
1,1,2,0,1,1,2.5603,1,57.223,17,39,1,19
1,1,2,0,2,1,1.6161,0,57.223,17,39,1,19
1,1,2,0,3,1,1.9666,0,57.223,17,39,1,19
1,1,3,0,1,1,3.1385,0,11.059,17,39,1,19
1,1,3,0,2,1,1.7706,0,11.059,17,39,1,19
1,1,3,0,3,1,1.4866,0,11.059,17,39,1,19
1,1,4,0,1,1,3.3876,0,10.483,17,39,1,19
1,1,4,0,2,1,2.4766,NaN,10.483,17,39,1,19
1,1,4,0,3,1,1.8786,NaN,10.483,17,39,1,19
1,1,5,0,1,1,2.4519,1,29.582,17,39,1,19
1,1,5,0,2,1,2.4849,1,29.582,17,39,1,19
1,1,5,0,3,1,1.5267,0,29.582,17,39,1,19
1,1,6,0,1,1,2.2184,0,74.514,17,39,1,19
1,1,6,0,2,1,4.3745,0,74.514,17,39,1,19
1,1,6,0,3,1,1.7166,0,74.514,17,39,1,19
1,1,7,0,1,1,3.1305,0,1.6123,17,39,1,19
1,1,7,0,2,1,2.1812,0,1.6123,17,39,1,19
1,1,7,0,3,1,1.4287,0,1.6123,17,39,1,19
1,1,8,0,1,1,3.6961,0,15.679,17,39,1,19
1,1,8,0,2,1,1.9289,0,15.679,17,39,1,19
1,1,8,0,3,1,1.5646,0,15.679,17,39,1,19
1,1,9,0,1,1,2.8597,0,40.551,17,39,1,19
1,1,9,0,2,1,1.7386,0,40.551,17,39,1,19
1,1,9,0,3,1,1.5065,0,40.551,17,39,1,19
1,1,10,0,1,1,3.9442,1,30.953,17,39,1,19
1,1,10,0,2,1,1.5343,0,30.953,17,39,1,19
1,1,10,0,3,1,1.5714,0,30.953,17,39,1,19
1,1,11,1,1,1,3.6775,1,36.339,17,39,1,19
1,1,11,1,2,1,2.9695,1,36.339,17,39,1,19
1,1,11,1,3,1,2.4446,0,36.339,17,39,1,19
1,1,12,0,1,1,2.3165,0,51.872,17,39,1,19
1,1,12,0,2,1,2.0672,0,51.872,17,39,1,19
1,1,12,0,3,1,1.8906,0,51.872,17,39,1,19
1,1,13,0,1,1,5.0872,0,54.055,17,39,1,19
1,1,13,0,2,1,2.8498,0,54.055,17,39,1,19
1,1,13,0,3,1,2.3576,0,54.055,17,39,1,19
1,1,14,1,1,1,3.6723,1,49.885,17,39,1,19
1,1,14,1,2,1,2.1815,0,49.885,17,39,1,19
1,1,14,1,3,1,1.5654,NaN,49.885,17,39,1,19
1,1,15,1,1,1,2.9604,1,106.64,17,39,1,19
1,1,15,1,2,1,2.4547,1,106.64,17,39,1,19
1,1,15,1,3,1,1.3794,0,106.64,17,39,1,19
1,1,16,1,1,1,2.8314,1,35.698,17,39,1,19
1,1,16,1,2,1,1.5945,0,35.698,17,39,1,19
1,1,16,1,3,1,1.9442,0,35.698,17,39,1,19
1,1,17,0,1,1,3.5463,0,10.979,17,39,1,19
1,1,17,0,2,1,2.3974,0,10.979,17,39,1,19
1,1,17,0,3,1,2.3454,1,10.979,17,39,1,19
1,1,18,1,1,1,4.0405,0,33.974,17,39,1,19
1,1,18,1,2,1,2.4445,0,33.974,17,39,1,19
1,1,18,1,3,1,2.1241,0,33.974,17,39,1,19
1,1,19,0,1,1,2.9386,1,2.1378,17,39,1,19
1,1,19,0,2,1,1.6755,0,2.1378,17,39,1,19
1,1,19,0,3,1,1.4915,0,2.1378,17,39,1,19
1,1,20,0,1,1,4.8145,0,89.005,17,39,1,19
1,1,20,0,2,1,1.3276,0,89.005,17,39,1,19
1,1,20,0,3,1,1.7373,0,89.005,17,39,1,19
1,1,21,0,1,1,2.6903,0,8.877,17,39,1,19
1,1,21,0,2,1,1.5585,1,8.877,17,39,1,19
1,1,21,0,3,1,1.6715,0,8.877,17,39,1,19
1,1,22,0,1,1,4.2335,0,43.27,17,39,1,19
1,1,22,0,2,1,2.4585,0,43.27,17,39,1,19
1,1,22,0,3,1,1.5395,NaN,43.27,17,39,1,19
1,1,23,0,1,1,3.7189,0,82.266,17,39,1,19
1,1,23,0,2,1,3.249,1,82.266,17,39,1,19
1,1,23,0,3,1,1.7876,1,82.266,17,39,1,19
1,1,24,0,1,1,5.5035,0,72.996,17,39,1,19
1,1,24,0,2,1,1.9996,0,72.996,17,39,1,19
1,1,24,0,3,1,1.9895,0,72.996,17,39,1,19
1,1,25,1,1,1,3.409,1,84.274,17,39,1,19
1,1,25,1,2,1,3.2527,0,84.274,17,39,1,19
1,1,25,1,3,1,1.6314,NaN,84.274,17,39,1,19
1,1,26,0,1,1,2.4686,0,21.552,17,39,1,19
1,1,26,0,2,1,2.3163,0,21.552,17,39,1,19
1,1,26,0,3,1,2.0316,0,21.552,17,39,1,19
1,1,27,0,1,1,3.4807,0,81.539,17,39,1,19
1,1,27,0,2,1,1.8604,0,81.539,17,39,1,19
1,1,27,0,3,1,1.6246,1,81.539,17,39,1,19
1,1,28,1,1,1,4.0975,0,74.375,17,39,1,19
1,1,28,1,2,1,3.1193,0,74.375,17,39,1,19
1,1,28,1,3,1,1.5806,0,74.375,17,39,1,19
1,1,29,1,1,1,3.1695,1,3.8497,17,39,1,19
1,1,29,1,2,1,2.1424,0,3.8497,17,39,1,19
1,1,29,1,3,1,2.0566,0,3.8497,17,39,1,19
1,1,30,1,1,1,3.0794,1,8.9771,17,39,1,19
1,1,30,1,2,1,1.9798,1,8.9771,17,39,1,19
1,1,30,1,3,1,1.9363,1,8.9771,17,39,1,19
1,1,31,1,1,1,3.7431,0,42.096,17,39,1,19
1,1,31,1,2,1,2.7191,1,42.096,17,39,1,19
1,1,31,1,3,1,1.4536,0,42.096,17,39,1,19
1,1,32,1,1,1,3.9256,1,45.054,17,39,1,19
1,1,32,1,2,1,2.0205,1,45.054,17,39,1,19
1,1,32,1,3,1,1.4856,0,45.054,17,39,1,19
1,1,33,1,1,1,5.8246,1,25.429,17,39,1,19
1,1,33,1,2,1,3.7086,1,25.429,17,39,1,19
1,1,33,1,3,0,NaN,NaN,25.429,17,39,1,19
1,1,34,1,1,1,8.3165,1,23.311,17,39,1,19
1,1,34,1,2,1,2.5786,1,23.311,17,39,1,19
1,1,34,1,3,1,1.8085,NaN,23.311,17,39,1,19
1,1,35,0,1,1,4.4407,0,80.184,17,39,1,19
1,1,35,0,2,1,1.651,0,80.184,17,39,1,19
1,1,35,0,3,1,1.2577,0,80.184,17,39,1,19
1,1,36,0,1,1,3.4745,1,31.26,17,39,1,19
1,1,36,0,2,1,2.2265,0,31.26,17,39,1,19
1,1,36,0,3,1,1.7695,0,31.26,17,39,1,19
1,1,37,1,1,1,2.9877,0,96.07,17,39,1,19
1,1,37,1,2,1,2.5699,0,96.07,17,39,1,19
1,1,37,1,3,1,1.4382,0,96.07,17,39,1,19
1,1,38,0,1,1,2.5964,0,169.89,17,39,1,19
1,1,38,0,2,1,2.3041,0,169.89,17,39,1,19
1,1,38,0,3,1,1.8291,0,169.89,17,39,1,19
1,1,39,0,1,1,6.7776,0,63.463,17,39,1,19
1,1,39,0,2,1,2.3393,1,63.463,17,39,1,19
1,1,39,0,3,1,1.915,1,63.463,17,39,1,19
1,1,40,0,1,1,3.7866,0,31.118,17,39,1,19
1,1,40,0,2,1,1.5307,0,31.118,17,39,1,19
1,1,40,0,3,1,1.7349,0,31.118,17,39,1,19
1,1,41,1,1,1,7.3405,0,66.813,17,39,1,19
1,1,41,1,2,1,4.2201,1,66.813,17,39,1,19
1,1,41,1,3,1,2.3403,1,66.813,17,39,1,19
1,1,42,0,1,1,9.1404,1,100.75,17,39,1,19
1,1,42,0,2,1,2.2036,1,100.75,17,39,1,19
1,1,42,0,3,1,1.6077,0,100.75,17,39,1,19
1,1,43,1,1,1,5.7809,1,25.13,17,39,1,19
1,1,43,1,2,1,2.3745,1,25.13,17,39,1,19
1,1,43,1,3,1,1.3485,1,25.13,17,39,1,19
1,1,44,0,1,1,5.4415,0,8.4655,17,39,1,19
1,1,44,0,2,1,2.5497,0,8.4655,17,39,1,19
1,1,44,0,3,1,2.2663,0,8.4655,17,39,1,19
1,1,45,0,1,1,2.3766,0,39.674,17,39,1,19
1,1,45,0,2,1,1.5845,0,39.674,17,39,1,19
1,1,45,0,3,1,1.8871,0,39.674,17,39,1,19
1,1,46,1,1,1,5.4956,1,11.452,17,39,1,19
1,1,46,1,2,1,2.5298,1,11.452,17,39,1,19
1,1,46,1,3,1,1.4863,1,11.452,17,39,1,19
1,1,47,1,1,1,3.0125,1,2.1929,17,39,1,19
1,1,47,1,2,1,1.9876,NaN,2.1929,17,39,1,19
1,1,47,1,3,1,2.0996,NaN,2.1929,17,39,1,19
1,1,48,0,1,1,4.4412,0,66.606,17,39,1,19
1,1,48,0,2,1,2.5402,0,66.606,17,39,1,19
1,1,48,0,3,1,1.5197,0,66.606,17,39,1,19
1,1,49,0,1,1,4.2486,0,83.817,17,39,1,19
1,1,49,0,2,1,1.4539,0,83.817,17,39,1,19
1,1,49,0,3,1,1.7945,0,83.817,17,39,1,19
1,1,50,1,1,1,5.1623,0,13.426,17,39,1,19
1,1,50,1,2,1,2.8047,1,13.426,17,39,1,19
1,1,50,1,3,1,1.9732,1,13.426,17,39,1,19
1,1,51,1,1,1,7.2464,1,117.19,17,39,1,19
1,1,51,1,2,1,2.4625,1,117.19,17,39,1,19
1,1,51,1,3,1,1.3687,0,117.19,17,39,1,19
1,1,52,0,1,1,5.2266,0,20.052,17,39,1,19
1,1,52,0,2,1,3.8585,1,20.052,17,39,1,19
1,1,52,0,3,1,1.805,0,20.052,17,39,1,19
1,1,53,1,1,1,5.0123,1,60.253,17,39,1,19
