sbj,distractor,block,accurate,rt,first,AQ,SAS
1,1,1,1,3.9284,1,17,39
1,1,2,1,2.5425,0,17,39
1,1,3,1,1.9563,0,17,39
1,0,1,1,2.5603,1,17,39
1,0,2,1,1.6161,0,17,39
1,0,3,1,1.9666,0,17,39
1,0,1,1,3.1385,0,17,39
1,0,2,1,1.7706,0,17,39
1,0,3,1,1.4866,0,17,39
1,0,1,1,3.3876,0,17,39
1,0,2,1,2.4766,NaN,17,39
1,0,3,1,1.8786,NaN,17,39
1,0,1,1,2.4519,1,17,39
1,0,2,1,2.4849,1,17,39
1,0,3,1,1.5267,0,17,39
1,0,1,1,2.2184,0,17,39
1,0,2,1,4.3745,0,17,39
1,0,3,1,1.7166,0,17,39
1,0,1,1,3.1305,0,17,39
1,0,2,1,2.1812,0,17,39
1,0,3,1,1.4287,0,17,39
1,0,1,1,3.6961,0,17,39
1,0,2,1,1.9289,0,17,39
1,0,3,1,1.5646,0,17,39
1,0,1,1,2.8597,0,17,39
1,0,2,1,1.7386,0,17,39
1,0,3,1,1.5065,0,17,39
1,0,1,1,3.9442,1,17,39
1,0,2,1,1.5343,0,17,39
1,0,3,1,1.5714,0,17,39
1,1,1,1,3.6775,1,17,39
1,1,2,1,2.9695,1,17,39
1,1,3,1,2.4446,0,17,39
1,0,1,1,2.3165,0,17,39
1,0,2,1,2.0672,0,17,39
1,0,3,1,1.8906,0,17,39
1,0,1,1,5.0872,0,17,39
1,0,2,1,2.8498,0,17,39
1,0,3,1,2.3576,0,17,39
1,1,1,1,3.6723,1,17,39
1,1,2,1,2.1815,0,17,39
1,1,3,1,1.5654,NaN,17,39
1,1,1,1,2.9604,1,17,39
1,1,2,1,2.4547,1,17,39
1,1,3,1,1.3794,0,17,39
1,1,1,1,2.8314,1,17,39
1,1,2,1,1.5945,0,17,39
1,1,3,1,1.9442,0,17,39
1,0,1,1,3.5463,0,17,39
1,0,2,1,2.3974,0,17,39
1,0,3,1,2.3454,1,17,39
1,1,1,1,4.0405,0,17,39
1,1,2,1,2.4445,0,17,39
1,1,3,1,2.1241,0,17,39
1,0,1,1,2.9386,1,17,39
1,0,2,1,1.6755,0,17,39
1,0,3,1,1.4915,0,17,39
1,0,1,1,4.8145,0,17,39
1,0,2,1,1.3276,0,17,39
1,0,3,1,1.7373,0,17,39
1,0,1,1,2.6903,0,17,39
1,0,2,1,1.5585,1,17,39
1,0,3,1,1.6715,0,17,39
1,0,1,1,4.2335,0,17,39
1,0,2,1,2.4585,0,17,39
1,0,3,1,1.5395,NaN,17,39
1,0,1,1,3.7189,0,17,39
1,0,2,1,3.249,1,17,39
1,0,3,1,1.7876,1,17,39
1,0,1,1,5.5035,0,17,39
1,0,2,1,1.9996,0,17,39
1,0,3,1,1.9895,0,17,39
1,1,1,1,3.409,1,17,39
1,1,2,1,3.2527,0,17,39
1,1,3,1,1.6314,NaN,17,39
1,0,1,1,2.4686,0,17,39
1,0,2,1,2.3163,0,17,39
1,0,3,1,2.0316,0,17,39
1,0,1,1,3.4807,0,17,39
1,0,2,1,1.8604,0,17,39
1,0,3,1,1.6246,1,17,39
1,1,1,1,4.0975,0,17,39
1,1,2,1,3.1193,0,17,39
1,1,3,1,1.5806,0,17,39
1,1,1,1,3.1695,1,17,39
1,1,2,1,2.1424,0,17,39
1,1,3,1,2.0566,0,17,39
1,1,1,1,3.0794,1,17,39
1,1,2,1,1.9798,1,17,39
1,1,3,1,1.9363,1,17,39
1,1,1,1,3.7431,0,17,39
1,1,2,1,2.7191,1,17,39
1,1,3,1,1.4536,0,17,39
1,1,1,1,3.9256,1,17,39
1,1,2,1,2.0205,1,17,39
1,1,3,1,1.4856,0,17,39
1,1,1,1,5.8246,1,17,39
1,1,2,1,3.7086,1,17,39
1,1,1,1,8.3165,1,17,39
1,1,2,1,2.5786,1,17,39
1,1,3,1,1.8085,NaN,17,39
1,0,1,1,4.4407,0,17,39
1,0,2,1,1.651,0,17,39
1,0,3,1,1.2577,0,17,39
1,0,1,1,3.4745,1,17,39
1,0,2,1,2.2265,0,17,39
1,0,3,1,1.7695,0,17,39
1,1,1,1,2.9877,0,17,39
1,1,2,1,2.5699,0,17,39
1,1,3,1,1.4382,0,17,39
1,0,1,1,2.5964,0,17,39
1,0,2,1,2.3041,0,17,39
1,0,3,1,1.8291,0,17,39
1,0,1,1,6.7776,0,17,39
1,0,2,1,2.3393,1,17,39
1,0,3,1,1.915,1,17,39
1,0,1,1,3.7866,0,17,39
1,0,2,1,1.5307,0,17,39
1,0,3,1,1.7349,0,17,39
1,1,1,1,7.3405,0,17,39
1,1,2,1,4.2201,1,17,39
1,1,3,1,2.3403,1,17,39
1,0,1,1,9.1404,1,17,39
1,0,2,1,2.2036,1,17,39
1,0,3,1,1.6077,0,17,39
1,1,1,1,5.7809,1,17,39
1,1,2,1,2.3745,1,17,39
1,1,3,1,1.3485,1,17,39
1,0,1,1,5.4415,0,17,39
1,0,2,1,2.5497,0,17,39
1,0,3,1,2.2663,0,17,39
1,0,1,1,2.3766,0,17,39
1,0,2,1,1.5845,0,17,39
1,0,3,1,1.8871,0,17,39
1,1,1,1,5.4956,1,17,39
1,1,2,1,2.5298,1,17,39
1,1,3,1,1.4863,1,17,39
1,1,1,1,3.0125,1,17,39
1,1,2,1,1.9876,NaN,17,39
1,1,3,1,2.0996,NaN,17,39
1,0,1,1,4.4412,0,17,39
1,0,2,1,2.5402,0,17,39
1,0,3,1,1.5197,0,17,39
1,0,1,1,4.2486,0,17,39
1,0,2,1,1.4539,0,17,39
1,0,3,1,1.7945,0,17,39
1,1,1,1,5.1623,0,17,39
1,1,2,1,2.8047,1,17,39
1,1,3,1,1.9732,1,17,39
1,1,1,1,7.2464,1,17,39
1,1,2,1,2.4625,1,17,39
1,1,3,1,1.3687,0,17,39
1,0,1,1,5.2266,0,17,39
1,0,2,1,3.8585,1,17,39
1,0,3,1,1.805,0,17,39
1,1,1,1,5.0123,1,17,39
1,1,2,1,2.7525,1,17,39
1,1,3,1,2.2337,1,17,39
